iter	Passed	Remaining
0	0	56
1	1	57
2	2	66
3	2	63
4	3	71
5	4	72
6	5	71
7	6	77
8	7	76
9	8	74
10	9	72
11	9	71
12	10	69
13	11	68
14	11	66
15	12	64
16	13	63
17	13	62
18	14	61
19	14	59
20	15	58
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	51
28	20	50
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	23	44
35	24	43
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	37
42	27	37
43	28	36
44	28	35
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	27
55	34	27
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	14
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
